microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
4740,1.012,-0.045,0.034,0.671,0.305,0.61,-63.957,-85.507,125.206,3
4782,0.485,0.003,0.883,1.343,25.94,0.366,0.011,-28.724,-16.534,3
4844,1.012,-0.055,0.043,0.549,-0.183,1.16,-64.276,-85.578,121.866,3
4916,0.463,0.014,0.905,1.648,28.259,-0.244,0.187,-25.966,-16.831,3
4935,1.013,-0.042,0.03,-0.183,1.343,0.244,-63.759,-85.633,117.708,3
4949,0.406,0.007,0.942,1.77,29.907,-0.122,0.368,-23.17,-17.183,3
5038,1.013,-0.037,0.039,-0.244,1.587,2.747,-63.067,-85.463,113.225,3
5068,0.37,0.021,0.959,0.732,24.414,-0.061,0.516,-20.347,-17.485,3
5145,1.007,-0.046,0.036,-0.977,0.183,1.709,-63.446,-85.314,109.633,3
5187,0.316,0.012,0.958,1.16,26.855,-0.671,0.659,-17.584,-17.831,3
5277,0.28,0.009,0.993,1.709,25.024,0.061,0.78,-14.98,-18.155,3
5340,1.014,-0.046,0.041,0.61,0.977,4.333,-64.33,-85.199,103.063,3
5354,0.206,0.028,0.9,0.183,13,0.366,0.895,-12.491,-18.408,3
5429,0.992,-0.048,0.035,0.244,0,2.319,-66.335,-85.001,101.426,3
5457,0.208,0.02,0.956,-0.061,0.244,0.122,0.862,-12.112,-18.66,3
5535,1.003,-0.051,0.036,0.305,0.977,-3.662,-65.506,-85.172,97.119,3
5564,0.223,0.011,0.982,0.427,-5.798,0.366,0.895,-12.48,-18.88,3
5639,1.014,-0.048,0.037,2.075,0.977,-2.136,-62.529,-85.54,90.967,3
5697,0.232,0.027,1.003,0.732,-1.587,1.953,0.939,-12.931,-18.984,3
5773,0.228,0.042,1.014,-1.038,7.019,-0.427,0.961,-12.772,-19.127,3
5835,1.002,-0.057,0.03,-3.296,-0.671,5.432,-65.753,-85.133,87.979,3
5862,0.21,-0.004,0.979,-1.404,4.395,-2.441,0.862,-12.189,-19.567,3
5925,1.002,-0.062,0.028,1.587,-0.122,2.869,-68.242,-84.825,87.687,3
5967,0.212,0.022,0.98,0,0.305,3.906,0.731,-11.997,-19.644,3
6029,1.006,-0.051,0.047,1.526,0.183,-0.366,-68.187,-84.836,85.1,3
6117,0.221,0.041,0.992,-0.366,-2.441,-0.793,0.802,-12.151,-19.644,3
6134,1.012,-0.061,0.034,-1.526,0.183,-0.366,-67.462,-85.007,81.617,3
6222,0.213,0.005,0.989,-0.427,-0.977,-0.183,0.775,-12.272,-19.968,3
6282,0.223,0.035,1.044,-1.099,3.296,-0.122,0.764,-12.294,-20.094,3
6345,1.004,-0.061,0.031,-1.831,-1.465,6.165,-69.988,-84.721,79.42,3
6386,0.196,0.006,0.946,-0.916,0.61,-1.038,0.621,-11.706,-20.374,3
