microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
12560,-0.854,0.278,0.282,2.563,11.108,-0.061,41.347,59.815,-64.413,2
12567,-0.855,0.346,0.38,-0.122,1.099,0.061,41.885,59.98,-63.907,2
12633,0.228,-1.005,0.006,4.517,1.892,13,-89.797,-13.359,-99.157,2
12654,-0.887,0.323,0.358,3.662,15.869,-0.916,43.077,60.875,-62.825,2
12751,0.19,-1.017,0.059,13.428,-0.977,20.508,-88.835,-11.547,-99.053,2
12778,-0.876,0.349,0.291,8.179,22.888,2.319,46.181,62.292,-59.793,2
12826,0.169,-0.907,0.027,12.634,-1.892,17.639,-87.385,-9.481,-98.877,2
12869,-0.779,0.297,0.236,2.93,18.799,-4.272,50.01,63.732,-56.091,2
12931,0.163,-0.956,0.044,-4.028,1.404,4.272,-87.111,-8.663,-98.828,2
12959,-0.917,0.318,0.203,1.404,14.038,-2.197,51.949,65.105,-53.91,2
13022,0.131,-0.997,0.055,5.31,1.953,3.479,-86.863,-7.262,-98.899,2
13055,-0.943,0.352,0.184,1.648,11.719,-3.174,54.613,65.978,-51.383,2
13127,0.105,-0.975,0.076,3.906,3.723,6.653,-86.55,-6.647,-99.157,2
13185,-0.888,0.323,0.163,5.676,9.521,-5.554,56.602,67.061,-49.653,2
13216,0.128,-0.953,0.054,-7.751,7.935,0,-86.446,-6.196,-99.613,2
13319,-0.931,0.314,0.188,-1.404,9.521,-7.69,58.112,67.961,-48.642,2
13332,0.068,-1.103,0.057,4.578,6.287,9.216,-86.726,-5.823,-100.261,2
13395,-0.994,0.293,0.166,6.958,12.695,-7.446,60.271,69.423,-46.857,2
13413,0.081,-0.98,0.058,10.559,1.038,15.869,-86.627,-4.362,-100.64,2
13514,-0.908,0.267,0.129,9.033,19.348,-8.85,64.501,70.972,-43.308,2
13528,0.074,-0.965,0.099,13.794,4.7,14.343,-85.644,-2.763,-100.778,2
13561,-0.883,0.264,0.071,10.315,18.433,0.916,70.62,72.169,-37.76,2
13622,0.064,-0.954,0.086,13.306,6.714,3.052,-84.249,-1.901,-101.179,2
13679,-0.849,0.266,0.053,9.094,4.578,4.333,75.377,72.12,-33.926,2
