microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
13554,0.816,0.047,0.635,-0.305,-9.827,1.892,4.614,-51.998,-19.704,3
13557,0.864,-0.52,0.058,-1.038,0.244,-27.344,-83.425,-59.485,-82.485,3
13568,0.85,0.035,0.654,2.563,-35.4,0.366,4.702,-54.382,-19.484,3
13569,0.854,0.044,0.579,0.488,-16.663,2.625,4.647,-56.635,-19.281,3
13584,0.885,0.053,0.536,-2.686,-23.865,1.648,4.664,-58.815,-19.039,3
13661,0.89,-0.471,0.053,1.587,-1.221,-24.414,-82.919,-62.578,-83.079,3
13689,0.903,0.029,0.504,-0.366,-21.667,1.526,4.697,-61.106,-18.99,3
13748,0.922,0.056,0.47,1.16,-21.606,0.732,4.982,-63.281,-18.935,3
13750,0.92,-0.448,0.063,1.587,-0.732,-27.283,-81.887,-65.506,-83.903,3
13857,0.941,-0.395,0.057,1.587,-0.183,-30.64,-81.09,-68.187,-84.628,3
13903,0.951,0.03,0.491,-0.61,-17.761,2.258,5.065,-65.33,-18.875,3
13960,0.939,0.051,0.415,-3.357,-12.695,1.099,4.883,-66.5,-18.55,3
13960,0.945,-0.337,0.06,-0.549,-0.854,-14.16,-80.206,-70.384,-85.15,3
14051,0.939,-0.275,0.041,2.625,-0.732,-20.996,-79.541,-72.202,-85.726,3
14064,0.947,0.01,0.375,-1.038,-27.466,0.793,4.894,-68.247,-18.27,3
0,0.955,-0.007,0.433,3.052,21.851,-1.404,-2.692,-66.605,-12.706,3
62,0.966,-0.319,0.02,-1.526,4.028,24.902,-89.132,-70.615,-120.91,3
119,0.946,0,0.437,-1.526,26.367,-3.418,-1.736,-64.237,-13.755,3
